avg_heart_rate,max_heart_rate,aerobic_training_effect,anaerobic_training_effect,user_lactate_threshold_heart_rate,recovery_time
102,136,1.3,0,176,178
150,177,3.7,1.1,176,1728
150,182,3.3,0,176,1342
131,141,0.3,0,176,1338
143,162,2.2,0,178,700
140,170,3.1,2.2,178,1222
97,107,0.2,0,176,0
121,135,0.6,0,176,0
158,185,3.2,3.5,176,2554
127,156,3.5,0,176,1872
106,137,0.1,0,176,0
115,177,2.8,0.2,169,1310
126,183,3.2,1.3,181,1824
118,146,2.1,0,169,642
123,135,0.2,0,183,1358
129,145,0.4,0,181,2526
124,132,0.3,0,182,1443
119,151,0.5,0,178,1659
164,188,5,1.1,176,5400
158,180,4.6,0.7,178,3261
130,145,2,0,178,1357
131,161,2,0,178,584
142,162,2.1,0,178,1728
105,119,0.2,0,180,0
133,160,2,0.3,180,876
159,178,2.8,2,180,2448
149,177,2.7,1.2,180,2304
146,171,3,1,186,1164
155,179,3.1,2,178,1222
102,139,0.4,0,178,264
111,129,0.2,0,178,0
124,154,1.2,0,175,150
99,127,0.2,0,178,0
127,158,1.4,0.1,181,967
113,133,0.5,0,183,2044
134,158,1.5,0.1,183,405
134,162,1.5,0.2,183,342
142,165,2.4,0.5,186,1951
142,179,2.3,2.1,185,1308
143,163,2.6,1.9,183,1398
115,117,0.9,0.1,169,0
137,168,2.1,1.6,169,700
153,184,2.5,1.8,169,874
140,167,2,1.2,181,584
166,188,3.5,0.5,169,1793
165,190,3.3,0,181,1840
173,188,3.9,0,169,2016
173,193,3.4,0.3,183,1547
168,187,3.3,0,183,2139
152,175,1.8,0,185,468
159,180,3.2,0.5,185,1600
167,187,3.7,0.2,185,1774
157,180,2.7,0,185,1068
159,183,3.2,0,185,1920
160,178,3.1,0.2,183,2008
152,171,2.9,0,183,1183
159,178,3.2,0,183,1365
130,155,0.8,0,183,0
170,187,3.5,0,183,2194
158,176,3,0,183,1400
154,187,2.9,0,183,1766
170,186,4,0,183,3108
149,171,2.5,1.2,183,954
168,181,2.8,0.2,183,1397
155,180,3.3,0.4,183,2007
159,188,4.1,1.7,183,3456
163,183,3.8,0.5,183,1885
161,183,3.4,2.5,183,1396
164,185,3.6,1,181,1584
167,188,3.5,0.5,181,1454
162,183,3.3,2.2,181,1466
165,181,4.1,0,181,2535
145,173,2.9,2.3,181,1328
146,163,2.4,0.2,181,816
153,177,3.5,1.9,181,1683
144,181,3,3.1,181,2095
157,178,3.1,2.1,178,1222
156,176,4.1,0.5,178,2354
142,174,2.6,0.8,178,932
159,176,3.4,0,178,1401
145,162,2.7,0.1,178,1708
151,167,3.1,0,178,1222
168,185,3.5,0.6,178,1454
149,180,3.3,2.8,176,2130
166,185,3.4,1.4,176,1810
146,171,2.8,0.6,175,1274
169,192,3.4,0.3,175,2186
163,187,2.7,0,175,990
175,187,3.7,0.1,175,2158
142,171,3.2,0,177,1938
167,191,4,0,177,2548
160,176,3.2,0,178,1345
169,194,3.8,2,178,1994
171,197,4.3,2.1,178,2753
168,190,3.4,1.7,178,1732
168,188,3.1,0.4,178,1843
168,187,3.4,0.2,180,2132
169,184,3,0,180,1560
150,181,2.9,0.2,180,1526
163,186,3.5,0,180,1454
160,190,3.3,1.1,182,1598
158,178,3.8,0,180,2836
151,183,3.3,0.6,180,2007
150,180,3.4,0.5,180,1730
148,164,2.5,0,180,874
179,193,3.5,1.1,178,2062
156,179,3,0,178,1454
149,178,3.5,0,178,1872
153,181,3.4,1,178,1723
151,166,3,0,178,1671
166,189,3.9,1.6,178,2154
159,183,3,0,178,1164
142,172,4.1,0.9,178,2304
147,168,3.5,0,178,1454
162,177,3,0,178,1450
166,186,3.5,0.6,178,1454
165,184,3.1,0,176,1222
134,163,2.2,0.2,175,700